,RMSD_6eqe_1
1000,0.15959053
1001,0.1659058
1002,0.17483228
1003,0.1736913
1004,0.17400216
1005,0.16637377
1006,0.16821444
1007,0.16640134
1008,0.17067263
1009,0.17002618
1010,0.16575208
1011,0.17084728
1012,0.17330784
1013,0.17174017
1014,0.16668604
1015,0.1684204
1016,0.17276277
1017,0.17233285
1018,0.17078012
1019,0.1741281
1020,0.16909409
1021,0.1699497
1022,0.17007264
1023,0.17031229
1024,0.16846429
1025,0.17850584
1026,0.1740666
1027,0.17310768
1028,0.1694901
1029,0.17578906
1030,0.1711216
1031,0.17359148
1032,0.17707062
1033,0.17289108
1034,0.17044096
1035,0.17209603
1036,0.17660502
1037,0.17935492
1038,0.18448757
1039,0.1708413
1040,0.1844088
1041,0.17928526
1042,0.178413
1043,0.17815563
1044,0.17448494
1045,0.16859438
1046,0.17091441
1047,0.17185739
1048,0.17732956
1049,0.16946152
1050,0.1783787
1051,0.17438556
1052,0.18029335
1053,0.16955477
1054,0.17257823
1055,0.16398019
1056,0.16773489
1057,0.17436802
1058,0.16818109
1059,0.16761631
1060,0.16719604
1061,0.16288994
1062,0.16394287
1063,0.17367956
1064,0.17093529
1065,0.16743675
1066,0.16348198
1067,0.16080147
1068,0.17194933
1069,0.16704503
1070,0.16911368
1071,0.16738042
1072,0.15998298
1073,0.16744132
1074,0.16416661
1075,0.1715055
1076,0.17428613
1077,0.16182229
1078,0.17633922
1079,0.1684416
1080,0.1621952
1081,0.16974108
1082,0.16938931
1083,0.18244933
1084,0.17154859
1085,0.17088458
1086,0.16973808
1087,0.16943745
1088,0.17137465
1089,0.17279227
1090,0.1741969
1091,0.17747755
1092,0.17425396
1093,0.17161396
1094,0.18114108
1095,0.17703174
1096,0.17817852
1097,0.17464848
1098,0.17373826
1099,0.17677093
1100,0.16747025
1101,0.17248367
1102,0.17918287
1103,0.17784773
1104,0.180142
1105,0.17127645
1106,0.17905337
1107,0.17202343
1108,0.17069055
1109,0.182269
1110,0.17331225
1111,0.17593691
1112,0.17644906
1113,0.17091739
1114,0.16647945
1115,0.16174352
1116,0.16378886
1117,0.1716793
1118,0.16308232
1119,0.16373126
1120,0.16884065
1121,0.1787242
1122,0.16520832
1123,0.17415006
1124,0.16549198
1125,0.16704045
1126,0.16651468
1127,0.16717012
1128,0.16792779
1129,0.17475063
1130,0.16344611
1131,0.1718915
1132,0.1665009
1133,0.16708013
1134,0.16569209
1135,0.1745083
1136,0.17194487
1137,0.1603983
1138,0.16816896
1139,0.1657244
1140,0.16896892
1141,0.16839467
1142,0.16959234
1143,0.16492726
1144,0.16621742
1145,0.17141183
1146,0.17417933
1147,0.17287487
1148,0.17024492
1149,0.1703572
1150,0.16735756
1151,0.16775313
1152,0.17487311
1153,0.16813864
1154,0.18007123
1155,0.1752357
1156,0.1764505
1157,0.16818868
1158,0.17500716
1159,0.17243193
1160,0.176332
1161,0.16677624
1162,0.16975309
1163,0.1744674
1164,0.16514812
1165,0.16972457
1166,0.16742457
